               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10507,            0.061992,            0.031318,             0.69006,             0.10106,            0.018243,           0.0048729,            0.081176,            0.049408,            0.019851,            0.070698,           0.0032558,           0.0032558
                   1,            0.079426,            0.051171,            0.020736,             0.75122,               0.132,            0.084285,            0.028866,            0.076391,            0.031609,            0.017303,            0.040632,           0.0065239,           0.0065239
                   2,            0.076179,            0.042197,            0.020015,             0.80457,             0.16772,             0.14502,            0.052814,            0.076523,             0.02646,            0.016617,            0.010501,            0.009726,            0.009726
                   3,            0.068935,             0.03996,            0.019426,             0.84306,             0.21958,             0.24293,             0.09888,            0.055828,            0.028058,            0.015498,            0.009703,            0.009703,            0.009703
                   4,            0.057589,            0.037797,            0.018059,             0.81605,              0.1985,             0.19327,            0.072027,             0.05685,            0.026865,            0.014252,            0.009703,            0.009703,            0.009703
                   5,            0.052747,            0.036255,            0.017594,             0.73671,             0.49062,             0.50882,             0.21747,            0.043933,            0.025303,            0.012224,            0.009604,            0.009604,            0.009604
                   6,            0.050334,            0.035832,            0.014677,             0.76778,              0.4915,             0.50132,             0.21617,            0.043237,            0.024888,            0.011784,            0.009505,            0.009505,            0.009505
                   7,             0.04779,            0.033819,             0.01215,             0.88162,              0.5009,             0.56874,             0.29225,            0.038793,            0.023902,           0.0099481,            0.009406,            0.009406,            0.009406
                   8,            0.045935,            0.036491,            0.011033,             0.83357,             0.48103,             0.51814,             0.23802,            0.039147,            0.024294,           0.0079613,            0.009307,            0.009307,            0.009307
                   9,            0.044078,             0.03273,           0.0096861,              0.8958,             0.50886,             0.59814,              0.3042,            0.038522,            0.023932,           0.0068849,            0.009208,            0.009208,            0.009208
                  10,            0.042077,            0.032645,           0.0085269,             0.88692,             0.53975,             0.62104,              0.3406,            0.033652,            0.023168,           0.0067613,            0.009109,            0.009109,            0.009109
                  11,            0.040373,            0.033845,           0.0086857,             0.93204,             0.53607,             0.61299,             0.33246,            0.035379,            0.023945,           0.0068519,             0.00901,             0.00901,             0.00901
                  12,            0.039298,            0.032196,           0.0074972,             0.91702,              0.5464,             0.63832,             0.35375,            0.034887,            0.023595,           0.0062223,            0.008911,            0.008911,            0.008911
                  13,            0.038494,            0.031977,           0.0073172,             0.92837,             0.55811,             0.64678,             0.36603,            0.033216,            0.023412,           0.0063111,            0.008812,            0.008812,            0.008812
                  14,             0.03815,            0.031917,           0.0074822,             0.92062,             0.55812,              0.6492,             0.39633,            0.030509,            0.023285,           0.0063344,            0.008713,            0.008713,            0.008713
                  15,            0.036859,            0.030562,           0.0068723,             0.92089,             0.56138,             0.67261,             0.39117,            0.030793,            0.023172,           0.0068153,            0.008614,            0.008614,            0.008614
                  16,            0.035957,             0.03237,           0.0072255,             0.92627,             0.55429,             0.63794,             0.38311,            0.031403,            0.023536,           0.0056215,            0.008515,            0.008515,            0.008515
                  17,             0.03691,            0.031642,           0.0066367,             0.93995,             0.54529,             0.64972,             0.38568,            0.030796,            0.023125,           0.0056865,            0.008416,            0.008416,            0.008416
                  18,            0.035386,            0.030534,            0.006553,             0.93971,             0.55541,             0.64543,             0.38241,            0.031901,            0.023082,           0.0054812,            0.008317,            0.008317,            0.008317
                  19,            0.034528,            0.030905,           0.0067489,             0.91035,              0.5797,             0.65948,             0.40247,            0.030031,            0.022825,           0.0053125,            0.008218,            0.008218,            0.008218
                  20,            0.033808,            0.029005,            0.006124,             0.92827,             0.55495,             0.65844,             0.39095,            0.031452,            0.022865,           0.0055588,            0.008119,            0.008119,            0.008119
                  21,            0.034444,            0.030152,           0.0057156,             0.93815,             0.57667,             0.66228,             0.40345,            0.029249,            0.022695,           0.0056525,             0.00802,             0.00802,             0.00802
                  22,            0.033534,            0.029235,           0.0062082,             0.59695,             0.66183,             0.67613,             0.39949,            0.030911,            0.023033,           0.0050935,            0.007921,            0.007921,            0.007921
                  23,            0.033924,            0.030748,            0.005855,             0.57037,             0.66186,             0.68267,             0.41923,            0.030821,            0.023256,           0.0047554,            0.007822,            0.007822,            0.007822
                  24,            0.032446,            0.031194,           0.0053587,             0.63792,             0.67747,             0.67572,             0.42263,            0.028885,            0.023068,           0.0050168,            0.007723,            0.007723,            0.007723
                  25,            0.032047,            0.028473,           0.0056358,             0.94597,             0.56929,             0.66848,             0.40846,            0.028987,            0.022519,           0.0046805,            0.007624,            0.007624,            0.007624
                  26,            0.031665,            0.028904,            0.005047,             0.66165,             0.64826,             0.66648,             0.41249,            0.029302,             0.02242,           0.0045487,            0.007525,            0.007525,            0.007525
                  27,            0.031329,            0.029982,           0.0053189,             0.68478,             0.65126,             0.67107,              0.4057,             0.02876,            0.022386,           0.0051064,            0.007426,            0.007426,            0.007426
